sample_id,Nc,PR,T2,TIT,EGT,Wf,eta_c,eta_t,W_net,SFC,P_setting,T_amb,mode,degradation,fault_channel,fault_magnitude
0,84.0,20.0,693.1424490090742,1360.0,656.8795417572611,15.66417760303565,0.8803047170797544,0.8989600158937595,213.14515295458597,73.4906582950688,0.6,273.15,normal,0.0,none,0.0
1,84.0,20.0,692.9298973575212,1360.0,655.330457959183,15.669170343711375,0.8807504511958064,0.9009405647163913,216.16090517610905,72.48845636978389,0.6,273.15,normal,0.0,none,0.0
2,84.0,20.0,694.2214308854095,1360.0,657.0846175637206,15.638832814307897,0.8780489648113462,0.8986978204931377,211.69027675768098,73.87600911027887,0.6,273.15,normal,0.0,none,0.0
3,84.0,20.0,693.2268536434491,1360.0,656.3134682324062,15.662194976938965,0.8801278404031673,0.8996837574076565,214.0835817408538,73.15925326724918,0.6,273.15,normal,0.0,none,0.0
4,84.0,20.0,693.2959010659372,1360.0,656.7333267290459,15.660573084696344,0.8799831988424958,0.8991469560724265,213.255158450387,73.4358465159459,0.6,273.15,normal,0.0,none,0.0
5,84.0,20.0,692.8684482354266,1360.0,655.4577704873448,15.670613755367446,0.8808793979748628,0.900777791935429,215.99213331819834,72.5517800793309,0.6,273.15,normal,0.0,none,0.0
6,84.0,20.0,693.2563569145105,1360.0,655.1844491742795,15.661501958651789,0.8800660306975612,0.9011272412069681,216.09724664064464,72.47432441698724,0.6,273.15,normal,0.0,none,0.0
7,84.0,20.0,693.064795353169,1360.0,656.7382140131658,15.66600165174863,0.880467509342252,0.8991407075371168,213.47858700526376,73.3844170111654,0.6,273.15,normal,0.0,none,0.0
8,84.0,20.0,693.1119008185848,1360.0,656.8161083156831,15.664895166000285,0.8803687507840825,0.899041117399171,213.29047755287303,73.44394998654865,0.6,273.15,normal,0.0,none,0.0
9,84.0,20.0,692.8688997802158,1360.0,656.1051689713457,15.67060314878773,0.8808784503013073,0.8999500740890137,214.82006208266984,72.94757759988526,0.6,273.15,normal,0.0,none,0.0
10,84.0,20.0,693.3761568194766,1360.0,656.5987076783374,15.658687913905013,0.8798151376364547,0.8993190704555961,213.41781974624848,73.3710424580432,0.6,273.15,normal,0.0,none,0.0
11,84.0,20.0,692.7050121072923,1360.0,656.1869845243548,15.674452794955503,0.8812225413386741,0.8998454705179312,214.83678166983378,72.95981941790754,0.6,273.15,normal,0.0,none,0.0
12,84.0,20.0,693.4924754291244,1360.0,656.3415403006754,15.655955643186392,0.8795716721778369,0.8996478664495118,213.76586833126527,73.23879983929389,0.6,273.15,normal,0.0,none,0.0
13,84.0,20.0,693.0338931220357,1360.0,655.7802878617912,15.666727530965389,0.8805323091855534,0.9003654440643641,215.2420567197422,72.78655375126985,0.6,273.15,normal,0.0,none,0.0
14,84.0,20.0,693.0909212357143,1360.0,655.7291533705514,15.665387966766556,0.880412732611596,0.9004308210030079,215.27728668034013,72.76841978237908,0.6,273.15,normal,0.0,none,0.0
15,84.0,20.0,692.2678763706308,1360.0,656.3839964817072,15.68472091264499,0.8821416476008704,0.8995935849836154,214.9198195196655,72.97940668152204,0.6,273.15,normal,0.0,none,0.0
16,84.0,20.0,693.5325817289604,1360.0,656.7026108093414,15.655013564622992,0.8794877572709284,0.8991862272717521,213.07280802899834,73.47260173382804,0.6,273.15,normal,0.0,none,0.0
17,84.0,20.0,692.9939985644985,1360.0,655.1830952077112,15.667664635799438,0.8806159794225755,0.9011289722927209,216.36336917804078,72.41366547082585,0.6,273.15,normal,0.0,none,0.0
18,84.0,20.0,693.3422884585935,1360.0,656.7232468255806,15.659483466147327,0.8798860525423451,0.8991598435230375,213.22675651350266,73.44051807661242,0.6,273.15,normal,0.0,none,0.0
19,84.0,20.0,693.6818802686898,1360.0,655.5572591424242,15.651506610493554,0.8791755187843088,0.9006505927878248,214.99451632911462,72.79956195038089,0.6,273.15,normal,0.0,none,0.0
20,84.0,20.0,692.9333276037762,1360.0,655.6412920468271,15.669089768802262,0.8807432541712035,0.9005431542683052,215.59469541768567,72.6784568537065,0.6,273.15,normal,0.0,none,0.0
